Member,Type,Facility,Year,Date Of Commitment,Amount Agreed,Amount (mn),IFScode,Country,Region,Facility acronym,facilitycode,typecode,decade,incomecode
Algeria,GRA,Stand-By Arrangement,1991,3-Jun-91,"300,000,000",300,612,DZA,MCD,SBA,6,1,3,EMDE
Comoros,PRGT,Structural Adjustment Facility,1991,21-Jun-91,"3,150,000",3.15,632,COM,AFR,SAF,11,2,3,LIC
Jamaica,GRA,Stand-By Arrangement,1991,28-Jun-91,"43,650,000",43.65,343,JAM,WHD,SBA,6,1,3,EMDE
Argentina,GRA,Stand-By Arrangement,1991,29-Jul-91,"780,000,000",780,213,ARG,WHD,SBA,6,1,3,EMDE
Tanzania,PRGT,Extended Credit Facility,1991,29-Jul-91,"181,900,000",181.9,738,TZA,AFR,ECF,8,2,3,LIC
Papua New Guinea,GRA,Stand-By Arrangement,1991,31-Jul-91,"26,360,000",26.36,853,PNG,APD,SBA,6,1,3,LIC
Dominican Republic,GRA,Stand-By Arrangement,1991,28-Aug-91,"39,240,000",39.24,243,DOM,WHD,SBA,6,1,3,EMDE
Sri Lanka,PRGT,Extended Credit Facility,1991,13-Sep-91,"336,000,000",336,524,LKA,APD,ECF,8,2,3,EMDE
Nicaragua,GRA,Stand-By Arrangement,1991,18-Sep-91,"40,860,000",40.86,278,NIC,WHD,SBA,6,1,3,LIC
Côte d'Ivoire,GRA,Stand-By Arrangement,1991,20-Sep-91,"82,750,000",82.75,662,CIV,AFR,SBA,6,1,3,LIC
Gabon,GRA,Stand-By Arrangement,1991,30-Sep-91,"28,000,000",28,646,GAB,AFR,SBA,6,1,3,EMDE
Mongolia,GRA,Stand-By Arrangement,1991,4-Oct-91,"22,500,000",22.5,948,MNG,APD,SBA,6,1,3,EMDE
India,GRA,Stand-By Arrangement,1991,31-Oct-91,"1,656,000,000",1656,534,IND,APD,SBA,6,1,3,EMDE
Guinea,PRGT,Extended Credit Facility,1991,6-Nov-91,"57,900,000",57.9,656,GIN,AFR,ECF,8,2,3,LIC
Burundi,PRGT,Extended Credit Facility,1991,13-Nov-91,"42,700,000",42.7,618,BDI,AFR,ECF,8,2,3,LIC
Ecuador,GRA,Stand-By Arrangement,1991,11-Dec-91,"75,000,000",75,248,ECU,WHD,SBA,6,1,3,EMDE
Cameroon,GRA,Stand-By Arrangement,1991,20-Dec-91,"28,000,000",28,622,CMR,AFR,SBA,6,1,3,LIC
El Salvador,GRA,Stand-By Arrangement,1992,6-Jan-92,"41,500,000",41.5,253,SLV,WHD,SBA,6,1,3,EMDE
Zimbabwe,GRA,Extended Fund Facility,1992,24-Jan-92,"343,800,000",343.8,698,ZWE,AFR,EFF,1,1,3,LIC
Brazil,GRA,Stand-By Arrangement,1992,29-Jan-92,"1,500,000,000",1500,223,BRA,WHD,SBA,6,1,3,EMDE
Morocco,GRA,Stand-By Arrangement,1992,31-Jan-92,"91,980,000",91.98,686,MAR,MCD,SBA,6,1,3,EMDE
Barbados,GRA,Stand-By Arrangement,1992,7-Feb-92,"23,890,000",23.89,316,BRB,WHD,SBA,6,1,3,EMDE
Panama,GRA,Stand-By Arrangement,1992,24-Feb-92,"93,680,000",93.68,283,PAN,WHD,SBA,6,1,3,EMDE
Jordan,GRA,Stand-By Arrangement,1992,26-Feb-92,"44,400,000",44.4,439,JOR,MCD,SBA,6,1,3,EMDE
Argentina,GRA,Extended Fund Facility,1992,31-Mar-92,"2,149,250,000",2149.25,213,ARG,WHD,EFF,1,1,3,EMDE
Bulgaria,GRA,Stand-By Arrangement,1992,17-Apr-92,"155,000,000",155,918,BGR,EUR,SBA,6,1,3,EMDE
Romania,GRA,Stand-By Arrangement,1992,29-May-92,"314,040,000",314.04,968,ROM,EUR,SBA,6,1,3,EMDE
Uruguay,GRA,Stand-By Arrangement,1992,1-Jul-92,"50,000,000",50,298,URY,WHD,SBA,6,1,3,EMDE
Honduras,PRGT,Extended Credit Facility,1992,24-Jul-92,"40,680,000",40.68,268,HND,WHD,ECF,8,2,3,LIC
Russian Federation,GRA,Stand-By Arrangement,1992,5-Aug-92,"719,000,000",719,922,RUS,EUR,SBA,6,1,3,EMDE
Albania,GRA,Stand-By Arrangement,1992,26-Aug-92,"20,000,000",20,914,ALB,EUR,SBA,6,1,3,EMDE
Mali,PRGT,Extended Credit Facility,1992,28-Aug-92,"60,960,000",60.96,678,MLI,AFR,ECF,8,2,3,LIC
Zimbabwe,GRA,Extended Fund Facility,1992,11-Sep-92,"114,600,000",114.6,698,ZWE,AFR,EFF,1,1,3,LIC
Zimbabwe,PRGT,Extended Credit Facility,1992,11-Sep-92,"200,600,000",200.6,698,ZWE,AFR,ECF,8,2,3,LIC
"Latvia, Republic of",GRA,Stand-By Arrangement,1992,14-Sep-92,"54,900,000",54.9,941,LVA,EUR,SBA,6,1,3,AE
"Estonia, Republic of",GRA,Stand-By Arrangement,1992,16-Sep-92,"27,900,000",27.9,939,EST,EUR,SBA,6,1,3,AE
Nepal,PRGT,Extended Credit Facility,1992,5-Oct-92,"33,570,000",33.57,558,NPL,APD,ECF,8,2,3,LIC
"Lithuania, Republic of",GRA,Stand-By Arrangement,1992,21-Oct-92,"56,925,000",56.925,946,LTU,EUR,SBA,6,1,3,AE
Ethiopia,PRGT,Structural Adjustment Facility,1992,28-Oct-92,"49,420,000",49.42,644,ETH,AFR,SAF,11,2,3,LIC
Mauritania,PRGT,Extended Credit Facility,1992,9-Dec-92,"33,900,000",33.9,682,MRT,MCD,ECF,8,2,3,LIC
Jamaica,GRA,Extended Fund Facility,1992,11-Dec-92,"109,125,000",109.125,343,JAM,WHD,EFF,1,1,3,EMDE
Guatemala,GRA,Stand-By Arrangement,1992,18-Dec-92,"54,000,000",54,258,GTM,WHD,SBA,6,1,3,EMDE
Benin,PRGT,Extended Credit Facility,1993,25-Jan-93,"46,950,000",46.95,638,BEN,AFR,ECF,8,2,3,LIC
Equatorial Guinea,PRGT,Extended Credit Facility,1993,3-Feb-93,"12,880,000",12.88,642,GNQ,AFR,ECF,8,2,3,EMDE
"Poland, Republic of",GRA,Stand-By Arrangement,1993,8-Mar-93,"476,000,000",476,964,POL,EUR,SBA,6,1,3,EMDE
Czech Republic,GRA,Stand-By Arrangement,1993,17-Mar-93,"177,000,000",177,935,CZE,EUR,SBA,6,1,3,AE
Peru,GRA,Extended Fund Facility,1993,18-Mar-93,"1,018,100,000",1018.1,293,PER,WHD,EFF,1,1,3,EMDE
Burkina Faso,PRGT,Extended Credit Facility,1993,31-Mar-93,"48,620,000",48.62,748,BFA,AFR,ECF,8,2,3,LIC
Costa Rica,GRA,Stand-By Arrangement,1993,19-Apr-93,"21,040,000",21.04,238,CRI,WHD,SBA,6,1,3,EMDE
El Salvador,GRA,Stand-By Arrangement,1993,10-May-93,"34,550,000",34.55,253,SLV,WHD,SBA,6,1,3,EMDE
Kyrgyz Republic,GRA,Stand-By Arrangement,1993,12-May-93,"27,090,000",27.09,917,KGZ,MCD,SBA,6,1,3,LIC
Lao People's Democratic Republic,PRGT,Extended Credit Facility,1993,4-Jun-93,"35,190,000",35.19,544,LAO,APD,ECF,8,2,3,LIC
Mongolia,PRGT,Extended Credit Facility,1993,25-Jun-93,"40,810,000",40.81,948,MNG,APD,ECF,8,2,3,EMDE
Dominican Republic,GRA,Stand-By Arrangement,1993,9-Jul-93,"31,800,000",31.8,243,DOM,WHD,SBA,6,1,3,EMDE
Albania,PRGT,Extended Credit Facility,1993,14-Jul-93,"42,360,000",42.36,914,ALB,EUR,ECF,8,2,3,EMDE
Hungary,GRA,Stand-By Arrangement,1993,15-Sep-93,"340,000,000",340,944,HUN,EUR,SBA,6,1,3,EMDE
Pakistan,GRA,Stand-By Arrangement,1993,16-Sep-93,"265,400,000",265.4,564,PAK,MCD,SBA,6,1,3,EMDE
Egypt,GRA,Extended Fund Facility,1993,20-Sep-93,"400,000,000",400,469,EGY,MCD,EFF,1,1,3,EMDE
Vietnam,GRA,Stand-By Arrangement,1993,6-Oct-93,"145,000,000",145,582,VNM,APD,SBA,6,1,3,LIC
"Lithuania, Republic of",GRA,Stand-By Arrangement,1993,22-Oct-93,"25,875,000",25.875,946,LTU,EUR,SBA,6,1,3,AE
"Estonia, Republic of",GRA,Stand-By Arrangement,1993,27-Oct-93,"11,625,000",11.625,939,EST,EUR,SBA,6,1,3,AE
"Latvia, Republic of",GRA,Stand-By Arrangement,1993,15-Dec-93,"22,875,000",22.875,941,LVA,EUR,SBA,6,1,3,AE
"Moldova, Republic of",GRA,Stand-By Arrangement,1993,17-Dec-93,"51,750,000",51.75,921,MDA,EUR,SBA,6,1,3,LIC
Kenya,PRGT,Extended Credit Facility,1993,22-Dec-93,"45,230,000",45.23,664,KEN,AFR,ECF,8,2,3,LIC
"Kazakhstan, Republic of",GRA,Stand-By Arrangement,1994,26-Jan-94,"123,750,000",123.75,916,KAZ,MCD,SBA,6,1,3,EMDE
Pakistan,GRA,Extended Fund Facility,1994,22-Feb-94,"379,100,000",379.1,564,PAK,MCD,EFF,1,1,3,EMDE
Pakistan,PRGT,Extended Credit Facility,1994,22-Feb-94,"606,600,000",606.6,564,PAK,MCD,ECF,8,2,3,EMDE
Senegal,GRA,Stand-By Arrangement,1994,2-Mar-94,"47,560,000",47.56,722,SEN,AFR,SBA,6,1,3,LIC
Niger,GRA,Stand-By Arrangement,1994,4-Mar-94,"18,596,000",18.596,692,NER,AFR,SBA,6,1,3,LIC
Côte d'Ivoire,PRGT,Extended Credit Facility,1994,11-Mar-94,"333,480,000",333.48,662,CIV,AFR,ECF,8,2,3,LIC
Cameroon,GRA,Stand-By Arrangement,1994,14-Mar-94,"81,060,000",81.06,622,CMR,AFR,SBA,6,1,3,LIC
Chad,GRA,Stand-By Arrangement,1994,23-Mar-94,"16,520,000",16.52,628,TCD,AFR,SBA,6,1,3,LIC
Central African Republic,GRA,Stand-By Arrangement,1994,28-Mar-94,"16,480,000",16.48,626,CAF,AFR,SBA,6,1,3,LIC
Sierra Leone,PRGT,Extended Credit Facility,1994,28-Mar-94,"88,780,000",88.78,724,SLE,AFR,ECF,8,2,3,LIC
Sierra Leone,PRGT,Structural Adjustment Facility,1994,28-Mar-94,"27,020,000",27.02,724,SLE,AFR,SAF,11,2,3,LIC
Gabon,GRA,Stand-By Arrangement,1994,30-Mar-94,"38,600,000",38.6,646,GAB,AFR,SBA,6,1,3,EMDE
Bulgaria,GRA,Stand-By Arrangement,1994,11-Apr-94,"69,740,000",69.74,918,BGR,EUR,SBA,6,1,3,EMDE
Cambodia,PRGT,Extended Credit Facility,1994,6-May-94,"84,000,000",84,522,KHM,APD,ECF,8,2,3,LIC
Ecuador,GRA,Stand-By Arrangement,1994,11-May-94,"130,000,000",130,248,ECU,WHD,SBA,6,1,3,EMDE
Romania,GRA,Stand-By Arrangement,1994,11-May-94,"131,970,000",131.97,968,ROM,EUR,SBA,6,1,3,EMDE
Jordan,GRA,Extended Fund Facility,1994,25-May-94,"127,800,000",127.8,439,JOR,MCD,EFF,1,1,3,EMDE
Algeria,GRA,Stand-By Arrangement,1994,27-May-94,"457,200,000",457.2,612,DZA,MCD,SBA,6,1,3,EMDE
"Congo, Republic of",GRA,Stand-By Arrangement,1994,27-May-94,"23,160,000",23.16,634,COG,AFR,SBA,6,1,3,LIC
Nicaragua,PRGT,Extended Credit Facility,1994,24-Jun-94,"120,120,000",120.12,278,NIC,WHD,ECF,8,2,3,LIC
Philippines,GRA,Extended Fund Facility,1994,24-Jun-94,"474,500,000",474.5,566,PHL,APD,EFF,1,1,3,EMDE
"Türkiye, Republic of",GRA,Stand-By Arrangement,1994,8-Jul-94,"509,300,000",509.3,186,TUR,EUR,SBA,6,1,3,EMDE
Guyana,PRGT,Extended Credit Facility,1994,20-Jul-94,"53,760,000",53.76,336,GUY,WHD,ECF,8,2,3,EMDE
Kyrgyz Republic,PRGT,Extended Credit Facility,1994,20-Jul-94,"70,950,000",70.95,917,KGZ,MCD,ECF,8,2,3,LIC
Slovak Republic,GRA,Stand-By Arrangement,1994,22-Jul-94,"115,800,000",115.8,936,SVK,EUR,SBA,6,1,3,AE
"Poland, Republic of",GRA,Stand-By Arrangement,1994,5-Aug-94,"545,000,000",545,964,POL,EUR,SBA,6,1,3,EMDE
Senegal,PRGT,Extended Credit Facility,1994,29-Aug-94,"130,790,000",130.79,722,SEN,AFR,ECF,8,2,3,LIC
Uganda,PRGT,Extended Credit Facility,1994,6-Sep-94,"120,510,000",120.51,746,UGA,AFR,ECF,8,2,3,LIC
Togo,PRGT,Extended Credit Facility,1994,16-Sep-94,"65,160,000",65.16,742,TGO,AFR,ECF,8,2,3,LIC
Lesotho,GRA,Stand-By Arrangement,1994,23-Sep-94,"8,365,000",8.365,666,LSO,AFR,SBA,6,1,3,LIC
"Croatia, Republic of",GRA,Stand-By Arrangement,1994,14-Oct-94,"65,400,000",65.4,960,HRV,EUR,SBA,6,1,3,EMDE
"Lithuania, Republic of",GRA,Extended Fund Facility,1994,24-Oct-94,"134,550,000",134.55,946,LTU,EUR,EFF,1,1,3,AE
Vietnam,PRGT,Extended Credit Facility,1994,11-Nov-94,"362,400,000",362.4,582,VNM,APD,ECF,8,2,3,LIC
Malawi,GRA,Stand-By Arrangement,1994,16-Nov-94,"15,000,000",15,676,MWI,AFR,SBA,6,1,3,LIC
Bolivia,PRGT,Extended Credit Facility,1994,19-Dec-94,"100,960,000",100.96,218,BOL,WHD,ECF,8,2,3,EMDE
Guinea-Bissau,PRGT,Extended Credit Facility,1995,18-Jan-95,"9,450,000",9.45,654,GNB,AFR,ECF,8,2,3,LIC
Mauritania,PRGT,Extended Credit Facility,1995,25-Jan-95,"42,750,000",42.75,682,MRT,MCD,ECF,8,2,3,LIC
Mexico,GRA,Stand-By Arrangement,1995,1-Feb-95,"5,259,900,000",5259.9,273,MEX,WHD,SBA,6,1,3,EMDE
Haiti,GRA,Stand-By Arrangement,1995,8-Mar-95,"20,000,000",20,263,HTI,WHD,SBA,6,1,3,LIC
"Moldova, Republic of",GRA,Stand-By Arrangement,1995,22-Mar-95,"58,500,000",58.5,921,MDA,EUR,SBA,6,1,3,LIC
Ukraine,GRA,Stand-By Arrangement,1995,7-Apr-95,"997,300,000",997.3,926,UKR,EUR,SBA,6,1,3,EMDE
"Estonia, Republic of",GRA,Stand-By Arrangement,1995,11-Apr-95,"13,950,000",13.95,939,EST,EUR,SBA,6,1,3,AE
Russian Federation,GRA,Stand-By Arrangement,1995,11-Apr-95,"4,313,100,000",4313.1,922,RUS,EUR,SBA,6,1,3,EMDE
"Latvia, Republic of",GRA,Stand-By Arrangement,1995,21-Apr-95,"27,450,000",27.45,941,LVA,EUR,SBA,6,1,3,AE
"North Macedonia, Republic of",GRA,Stand-By Arrangement,1995,5-May-95,"22,300,000",22.3,962,MKD,EUR,SBA,6,1,3,EMDE
Algeria,GRA,Extended Fund Facility,1995,22-May-95,"1,169,280,000",1169.28,612,DZA,MCD,EFF,1,1,3,EMDE
"Kazakhstan, Republic of",GRA,Stand-By Arrangement,1995,5-Jun-95,"185,600,000",185.6,916,KAZ,MCD,SBA,6,1,3,EMDE
"Armenia, Republic of",GRA,Stand-By Arrangement,1995,28-Jun-95,"43,875,000",43.875,911,ARM,MCD,SBA,6,1,3,EMDE
Georgia,GRA,Stand-By Arrangement,1995,28-Jun-95,"72,150,000",72.15,915,GEO,MCD,SBA,6,1,3,EMDE
Ghana,PRGT,Extended Credit Facility,1995,30-Jun-95,"164,400,000",164.4,652,GHA,AFR,ECF,8,2,3,LIC
Papua New Guinea,GRA,Stand-By Arrangement,1995,14-Jul-95,"71,480,000",71.48,853,PNG,APD,SBA,6,1,3,LIC
El Salvador,GRA,Stand-By Arrangement,1995,21-Jul-95,"37,680,000",37.68,253,SLV,WHD,SBA,6,1,3,EMDE
Lesotho,GRA,Stand-By Arrangement,1995,31-Jul-95,"7,170,000",7.17,666,LSO,AFR,SBA,6,1,3,LIC
Chad,PRGT,Extended Credit Facility,1995,1-Sep-95,"49,560,000",49.56,628,TCD,AFR,ECF,8,2,3,LIC
"Belarus, Republic of",GRA,Stand-By Arrangement,1995,12-Sep-95,"196,280,000",196.28,913,BLR,EUR,SBA,6,1,3,EMDE
Cameroon,GRA,Stand-By Arrangement,1995,27-Sep-95,"67,600,000",67.6,622,CMR,AFR,SBA,6,1,3,LIC
Malawi,PRGT,Extended Credit Facility,1995,18-Oct-95,"45,810,000",45.81,676,MWI,AFR,ECF,8,2,3,LIC
Gabon,GRA,Extended Fund Facility,1995,8-Nov-95,"110,300,000",110.3,646,GAB,AFR,EFF,1,1,3,EMDE
Azerbaijan,GRA,Stand-By Arrangement,1995,17-Nov-95,"58,500,000",58.5,912,AZE,MCD,SBA,6,1,3,EMDE
Costa Rica,GRA,Stand-By Arrangement,1995,29-Nov-95,"52,000,000",52,238,CRI,WHD,SBA,6,1,3,EMDE
Panama,GRA,Stand-By Arrangement,1995,29-Nov-95,"69,800,000",69.8,283,PAN,WHD,SBA,6,1,3,EMDE
Zambia,PRGT,Extended Credit Facility,1995,6-Dec-95,"701,681,540",701.68154,754,ZMB,AFR,ECF,8,2,3,LIC
Zambia,PRGT,Structural Adjustment Facility,1995,6-Dec-95,"181,750,000",181.75,754,ZMB,AFR,SAF,11,2,3,LIC
Pakistan,GRA,Stand-By Arrangement,1995,13-Dec-95,"401,850,000",401.85,564,PAK,MCD,SBA,6,1,3,EMDE
"Uzbekistan, Republic of",GRA,Stand-By Arrangement,1995,18-Dec-95,"124,700,000",124.7,927,UZB,MCD,SBA,6,1,3,LIC
Jordan,GRA,Extended Fund Facility,1996,9-Feb-96,"200,800,000",200.8,439,JOR,MCD,EFF,1,1,3,EMDE
"Armenia, Republic of",PRGT,Extended Credit Facility,1996,14-Feb-96,"101,250,000",101.25,911,ARM,MCD,ECF,8,2,3,EMDE
Georgia,PRGT,Extended Credit Facility,1996,28-Feb-96,"166,500,000",166.5,915,GEO,MCD,ECF,8,2,3,EMDE
Uruguay,GRA,Stand-By Arrangement,1996,1-Mar-96,"100,000,000",100,298,URY,WHD,SBA,6,1,3,EMDE
Hungary,GRA,Stand-By Arrangement,1996,15-Mar-96,"264,180,000",264.18,944,HUN,EUR,SBA,6,1,3,EMDE
"Yemen, Republic of",GRA,Stand-By Arrangement,1996,20-Mar-96,"132,375,000",132.375,474,YEM,MCD,SBA,6,1,3,LIC
Russian Federation,GRA,Extended Fund Facility,1996,26-Mar-96,"6,901,000,000",6901,922,RUS,EUR,EFF,1,1,3,EMDE
Mali,PRGT,Extended Credit Facility,1996,10-Apr-96,"62,010,000",62.01,678,MLI,AFR,ECF,8,2,3,LIC
Argentina,GRA,Stand-By Arrangement,1996,12-Apr-96,"720,000,000",720,213,ARG,WHD,SBA,6,1,3,EMDE
Djibouti,GRA,Stand-By Arrangement,1996,15-Apr-96,"4,600,000",4.6,611,DJI,MCD,SBA,6,1,3,LIC
Kenya,PRGT,Extended Credit Facility,1996,26-Apr-96,"149,550,000",149.55,664,KEN,AFR,ECF,8,2,3,LIC
"Tajikistan, Republic of",GRA,Stand-By Arrangement,1996,8-May-96,"15,000,000",15,923,TJK,MCD,SBA,6,1,3,LIC
Ukraine,GRA,Stand-By Arrangement,1996,10-May-96,"598,200,000",598.2,926,UKR,EUR,SBA,6,1,3,EMDE
"Moldova, Republic of",GRA,Extended Fund Facility,1996,20-May-96,"135,000,000",135,921,MDA,EUR,EFF,1,1,3,LIC
"Latvia, Republic of",GRA,Stand-By Arrangement,1996,24-May-96,"30,000,000",30,941,LVA,EUR,SBA,6,1,3,AE
Niger,PRGT,Extended Credit Facility,1996,12-Jun-96,"57,960,000",57.96,692,NER,AFR,ECF,8,2,3,LIC
Burkina Faso,PRGT,Extended Credit Facility,1996,14-Jun-96,"39,780,000",39.78,748,BFA,AFR,ECF,8,2,3,LIC
Mozambique,PRGT,Extended Credit Facility,1996,21-Jun-96,"75,600,000",75.6,688,MOZ,AFR,ECF,8,2,3,LIC
"Congo, Republic of",PRGT,Extended Credit Facility,1996,28-Jun-96,"69,480,000",69.48,634,COG,AFR,ECF,8,2,3,LIC
Peru,GRA,Extended Fund Facility,1996,1-Jul-96,"248,300,000",248.3,293,PER,WHD,EFF,1,1,3,EMDE
Venezuela,GRA,Stand-By Arrangement,1996,12-Jul-96,"975,650,000",975.65,299,VEN,WHD,SBA,6,1,3,EMDE
"Kazakhstan, Republic of",GRA,Extended Fund Facility,1996,17-Jul-96,"309,400,000",309.4,916,KAZ,MCD,EFF,1,1,3,EMDE
Bulgaria,GRA,Stand-By Arrangement,1996,19-Jul-96,"400,000,000",400,918,BGR,EUR,SBA,6,1,3,EMDE
"Estonia, Republic of",GRA,Stand-By Arrangement,1996,29-Jul-96,"13,950,000",13.95,939,EST,EUR,SBA,6,1,3,AE
Benin,PRGT,Extended Credit Facility,1996,28-Aug-96,"27,180,000",27.18,638,BEN,AFR,ECF,8,2,3,LIC
Lesotho,GRA,Stand-By Arrangement,1996,23-Sep-96,"7,170,000",7.17,666,LSO,AFR,SBA,6,1,3,LIC
Egypt,GRA,Stand-By Arrangement,1996,11-Oct-96,"271,400,000",271.4,469,EGY,MCD,SBA,6,1,3,EMDE
Ethiopia,PRGT,Extended Credit Facility,1996,11-Oct-96,"88,470,000",88.47,644,ETH,AFR,ECF,8,2,3,LIC
Haiti,PRGT,Extended Credit Facility,1996,18-Oct-96,"91,050,000",91.05,263,HTI,WHD,ECF,8,2,3,LIC
Tanzania,PRGT,Extended Credit Facility,1996,8-Nov-96,"161,590,000",161.59,738,TZA,AFR,ECF,8,2,3,LIC
Madagascar,PRGT,Extended Credit Facility,1996,27-Nov-96,"81,360,000",81.36,674,MDG,AFR,ECF,8,2,3,LIC
Azerbaijan,GRA,Extended Fund Facility,1996,20-Dec-96,"58,500,000",58.5,912,AZE,MCD,EFF,1,1,3,EMDE
Azerbaijan,PRGT,Extended Credit Facility,1996,20-Dec-96,"93,600,000",93.6,912,AZE,MCD,ECF,8,2,3,EMDE
Guinea,PRGT,Extended Credit Facility,1997,13-Jan-97,"70,800,000",70.8,656,GIN,AFR,ECF,8,2,3,LIC
El Salvador,GRA,Stand-By Arrangement,1997,28-Feb-97,"37,680,000",37.68,253,SLV,WHD,SBA,6,1,3,EMDE
"Croatia, Republic of",GRA,Extended Fund Facility,1997,12-Mar-97,"353,160,000",353.16,960,HRV,EUR,EFF,1,1,3,EMDE
Bulgaria,GRA,Stand-By Arrangement,1997,11-Apr-97,"371,900,000",371.9,918,BGR,EUR,SBA,6,1,3,EMDE
"North Macedonia, Republic of",PRGT,Extended Credit Facility,1997,11-Apr-97,"54,560,000",54.56,962,MKD,EUR,ECF,8,2,3,EMDE
Romania,GRA,Stand-By Arrangement,1997,22-Apr-97,"301,500,000",301.5,968,ROM,EUR,SBA,6,1,3,EMDE
Uruguay,GRA,Stand-By Arrangement,1997,20-Jun-97,"125,000,000",125,298,URY,WHD,SBA,6,1,3,EMDE
Mongolia,PRGT,Extended Credit Facility,1997,30-Jul-97,"33,390,000",33.39,948,MNG,APD,ECF,8,2,3,EMDE
Cameroon,PRGT,Extended Credit Facility,1997,20-Aug-97,"162,120,000",162.12,622,CMR,AFR,ECF,8,2,3,LIC
Thailand,GRA,Stand-By Arrangement,1997,20-Aug-97,"2,900,000,000",2900,578,THA,APD,SBA,6,1,3,EMDE
Ukraine,GRA,Stand-By Arrangement,1997,25-Aug-97,"398,920,000",398.92,926,UKR,EUR,SBA,6,1,3,EMDE
"Latvia, Republic of",GRA,Stand-By Arrangement,1997,10-Oct-97,"33,000,000",33,941,LVA,EUR,SBA,6,1,3,AE
Pakistan,GRA,Extended Fund Facility,1997,20-Oct-97,"454,920,000",454.92,564,PAK,MCD,EFF,1,1,3,EMDE
Pakistan,PRGT,Extended Credit Facility,1997,20-Oct-97,"682,380,000",682.38,564,PAK,MCD,ECF,8,2,3,EMDE
"Yemen, Republic of",GRA,Extended Fund Facility,1997,29-Oct-97,"105,900,000",105.9,474,YEM,MCD,EFF,1,1,3,LIC
"Yemen, Republic of",PRGT,Extended Credit Facility,1997,29-Oct-97,"264,750,000",264.75,474,YEM,MCD,ECF,8,2,3,LIC
Indonesia,GRA,Stand-By Arrangement,1997,5-Nov-97,"7,338,240,000",7338.24,536,IDN,APD,SBA,6,1,3,EMDE
Uganda,PRGT,Extended Credit Facility,1997,10-Nov-97,"100,425,000",100.425,746,UGA,AFR,ECF,8,2,3,LIC
Korea,GRA,Stand-By Arrangement,1997,4-Dec-97,"15,500,000,000",15500,542,KOR,APD,SBA,6,1,3,AE
Panama,GRA,Extended Fund Facility,1997,10-Dec-97,"120,000,000",120,283,PAN,WHD,EFF,1,1,3,EMDE
"Estonia, Republic of",GRA,Stand-By Arrangement,1997,17-Dec-97,"16,100,000",16.1,939,EST,EUR,SBA,6,1,3,AE
Argentina,GRA,Extended Fund Facility,1998,4-Feb-98,"2,080,000,000",2080,213,ARG,WHD,EFF,1,1,3,EMDE
Cabo Verde,GRA,Stand-By Arrangement,1998,20-Feb-98,"2,100,000",2.1,624,CPV,AFR,SBA,6,1,3,EMDE
Côte d'Ivoire,PRGT,Extended Credit Facility,1998,17-Mar-98,"285,840,000",285.84,662,CIV,AFR,ECF,8,2,3,LIC
Nicaragua,PRGT,Extended Credit Facility,1998,18-Mar-98,"100,905,000",100.905,278,NIC,WHD,ECF,8,2,3,LIC
Philippines,GRA,Stand-By Arrangement,1998,1-Apr-98,"1,020,790,000",1020.79,566,PHL,APD,SBA,6,1,3,EMDE
Senegal,PRGT,Extended Credit Facility,1998,20-Apr-98,"107,010,000",107.01,722,SEN,AFR,ECF,8,2,3,LIC
Albania,PRGT,Extended Credit Facility,1998,13-May-98,"35,300,000",35.3,914,ALB,EUR,ECF,8,2,3,EMDE
Bosnia and Herzegovina,GRA,Stand-By Arrangement,1998,29-May-98,"60,600,000",60.6,963,BIH,EUR,SBA,6,1,3,EMDE
Zimbabwe,GRA,Stand-By Arrangement,1998,1-Jun-98,"130,650,000",130.65,698,ZWE,AFR,SBA,6,1,3,LIC
Rwanda,PRGT,Extended Credit Facility,1998,24-Jun-98,"71,400,000",71.4,714,RWA,AFR,ECF,8,2,3,LIC
"Tajikistan, Republic of",PRGT,Extended Credit Facility,1998,24-Jun-98,"96,000,000",96,923,TJK,MCD,ECF,8,2,3,LIC
Kyrgyz Republic,PRGT,Extended Credit Facility,1998,26-Jun-98,"64,500,000",64.5,917,KGZ,MCD,ECF,8,2,3,LIC
"Gambia, The",PRGT,Extended Credit Facility,1998,29-Jun-98,"20,610,000",20.61,648,GMB,AFR,ECF,8,2,3,LIC
Guyana,PRGT,Extended Credit Facility,1998,15-Jul-98,"53,760,000",53.76,336,GUY,WHD,ECF,8,2,3,EMDE
Central African Republic,PRGT,Extended Credit Facility,1998,20-Jul-98,"49,440,000",49.44,626,CAF,AFR,ECF,8,2,3,LIC
Indonesia,GRA,Extended Fund Facility,1998,25-Aug-98,"4,669,100,000",4669.1,536,IDN,APD,EFF,1,1,3,EMDE
Ukraine,GRA,Extended Fund Facility,1998,4-Sep-98,"1,645,550,000",1645.55,926,UKR,EUR,EFF,1,1,3,EMDE
Bolivia,PRGT,Extended Credit Facility,1998,18-Sep-98,"100,960,000",100.96,218,BOL,WHD,ECF,8,2,3,EMDE
El Salvador,GRA,Stand-By Arrangement,1998,23-Sep-98,"37,680,000",37.68,253,SLV,WHD,SBA,6,1,3,EMDE
Bulgaria,GRA,Extended Fund Facility,1998,25-Sep-98,"627,620,000",627.62,918,BGR,EUR,EFF,1,1,3,EMDE
Brazil,GRA,Stand-By Arrangement,1998,2-Dec-98,"13,024,800,000",13024.8,223,BRA,WHD,SBA,6,1,3,EMDE
